title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
LibIHT: A Hardware-Based Approach to Efficient and Evasion-Resistant Dynamic Binary Analysis,"C Zhao, Y Beugin, JCN Ferrand, Q Burke, G Li…",2025,1,"… by antianalysis techniques. In this paper, we propose LibIHT, a hardwareassisted tracing … measures implies that LibIHT could be particularly useful in malware analysis pipelines, …",rWam63tsrroJ,"C Zhao, Y Beugin, JCN Ferrand, Q Burke, G Li… - Proceedings of the …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3733822.3764670,unknown,unknown
Ncscope: hardware-assisted analyzer for native code in android apps,"H Zhou, S Wu, X Luo, T Wang, Y Zhou…",2022,36,"… is very useful to malware analysis. Moreover, NCScope can … To analyze apps with native code, we propose NCScope, a novel hardware-assisted analyzer that collects execution traces …",-jNPdqewh3gJ,"H Zhou, S Wu, X Luo, T Wang, Y Zhou… - … Testing and Analysis, 2022 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3533767.3534410,unknown,unknown
On the feasibility of malware unpacking via hardware-assisted loop profiling,"B Cheng, EA Leal, H Zhang, J Ming",2023,19,"… profiling: we first utilize a hardware tracing mechanism of … results achieve the optimal malware detection rate. At last, we … towards hardware-assisted malware analysis. LoopHPCs …",1F68pHJaVqMJ,"B Cheng, EA Leal, H Zhang, J Ming - 32nd USENIX Security Symposium …, 2023 - usenix.org",[],https://www.usenix.org/conference/usenixsecurity23/presentation/cheng-binlin,unknown,unknown
MDCHD: A novel malware detection method in cloud using hardware trace and deep learning,"D Tian, Q Ying, X Jia, R Ma, C Hu, W Liu",2021,50,… malware detection solution for virtualization environments. This method first utilizes the Intel Processor Trace (IPT… to identify malware from the images. To improve the performance of our …,XddbQd1LcbMJ,"D Tian, Q Ying, X Jia, R Ma, C Hu, W Liu - Computer Networks, 2021 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1389128621003728,unknown,unknown
Hyperdbg: Reinventing hardware-assisted debugging,"MS Karvandi, MH Gholamrezaei…",2022,31,"… as large-scale and fast malware analysis including a Windows 0-day analysis, code coverage in … MDCHD: A novel malware detection method in cloud using hardware trace and deep …",JOVEEtNcsY4J,"MS Karvandi, MH Gholamrezaei… - Proceedings of the …, 2022 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3548606.3560649,unknown,unknown
Palantír: Optimizing attack provenance with hardware-enhanced system observability,"J Zeng, C Zhang, Z Liang",2022,32,"… attack investigation system that leverages hardware-assisted processor tracing (PT) to optimize … In summary, the central idea behind our approach is leveraging hardware-assisted PT to …",zzLPvyvrNkIJ,"J Zeng, C Zhang, Z Liang - Proceedings of the 2022 ACM SIGSAC …, 2022 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3548606.3560570,unknown,unknown
Hardware-assisted machine learning in resource-constrained IoT environments for security: review and future prospective,G Kornaros,2022,133,"… of a number of trace signals over a … in malware detection by utilizing such hardware traces. In a different perspective, through using architecture-agnostic methods for forensics analysis, …",0tjvz89sZXUJ,"G Kornaros - IEEE Access, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9785622/,unknown,unknown
Hardware-Assisted Packed Malware Analysis,E Leal,2024,0,"… The core of LoopHPCs is loopcentric HPCs profiling: we first utilize a hardware tracing … optimal malware detection rate. At last, we apply LoopHPCs to 74,938 in-the-wild packed …",qs-48IWLz_IJ,E Leal - 2024 - search.proquest.com,[],https://search.proquest.com/openview/fab009db6490983c076f131922ed2d61/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Hart: Hardware-assisted kernel module tracing on arm,"Y Du, Z Ning, J Xu, Z Wang, YH Lin, F Zhang…",2020,20,"… Morpheus [38] proposes a benchmarking tool to evaluate computational signatures based mobile malware detection, in which HPCs help to create run-time traces from applications for …",YclUQk8RWgcJ,"Y Du, Z Ning, J Xu, Z Wang, YH Lin, F Zhang… - … on Research in …, 2020 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-58951-6_16,unknown,unknown
SHIELD: Secure Host-Independent Extensible Logging for Tamper-Proof Detection and Real-Time Mitigation of Ransomware Threats,"M Raz, PV Charan, P Krishnamurthy…",2025,0,"… analytics, and hardware-assisted techniques to counter … integrity by using processor traces, performance counters, and … work is to embed ransomware detection and mitigation directly …",UbDrsQu_fEsJ,"M Raz, PV Charan, P Krishnamurthy… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2501.16619,unknown,unknown
Armor: Protecting software against hardware tracing techniques,"T Yue, F Zhang, Z Ning, P Wang, X Zhou…",2024,11,"… it in resisting cryptographic attacks and impeding hardware-assisted fuzzing. Using ETM, we … Liu, “Mdchd: A novel malware detection method in cloud using hardware trace and deep …",F8_iRGOwFRsJ,"T Yue, F Zhang, Z Ning, P Wang, X Zhou… - IEEE Transactions …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10458672/,unknown,unknown
FOX: Hardware-Assisted File Auditing for Direct Access NVM-Hosted Filesystems,M Ye,2021,1,"… of casualty analysis, attack/malware detection and enabling … read/write order, and can trace selected file accesses, but they … In contrast, hardware-assisted memory tracing is faster, un…",pjghqR1o7yAJ,"M Ye - arXiv preprint arXiv:2104.08699, 2021 - arxiv.org",[],https://arxiv.org/abs/2104.08699,unknown,unknown
